Title:,"Time Series, Area-Averaged of 2-meter air temperature - daily mean monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2017-12-01T00:00:00Z
User End Date:,2022-12-31T23:59:59Z
User Bounding Box:,"-63.3871,-36.0441,-52.9739,-21.7196"
Data Bounding Box:,"-63.125,-36,-53.125,-22"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2017-12-01T00:00:00Z&endtime=2022-12-31T23:59:59Z&bbox=-63.3871,-36.0441,-52.9739,-21.7196&data=M2SMNXSLV_5_12_4_T2MMEAN(units%3DC)&dataKeyword=M2SMNXSLV%20&portal=GIOVANNI&format=json"
Fill Value (mean_M2SMNXSLV_5_12_4_T2MMEAN):, 1000000000000000

time, mean_M2SMNXSLV_5_12_4_T2MMEAN
2017-12-01 00:00:00,26.1640873
2018-01-01 00:00:00,26.1346073
2018-02-01 00:00:00,25.5000553
2018-03-01 00:00:00,23.7310734
2018-04-01 00:00:00,23.5349979
2018-05-01 00:00:00,18.2155399
2018-06-01 00:00:00,12.8462772
2018-07-01 00:00:00,13.5254765
2018-08-01 00:00:00,13.8211308
2018-09-01 00:00:00,19.7627201
2018-10-01 00:00:00,20.9894962
2018-11-01 00:00:00,23.252161
2018-12-01 00:00:00,24.7571354
2019-01-01 00:00:00,26.2982731
2019-02-01 00:00:00,24.9733219
2019-03-01 00:00:00,22.5726566
2019-04-01 00:00:00,20.7298832
2019-05-01 00:00:00,17.2961369
2019-06-01 00:00:00,16.0782719
2019-07-01 00:00:00,12.9439335
2019-08-01 00:00:00,14.6692753
2019-09-01 00:00:00,17.9234257
2019-10-01 00:00:00,21.8188725
2019-11-01 00:00:00,25.0109806
2019-12-01 00:00:00,24.9937077
2020-01-01 00:00:00,26.4214725
2020-02-01 00:00:00,25.6166325
2020-03-01 00:00:00,26.0159855
2020-04-01 00:00:00,20.2719975
2020-05-01 00:00:00,16.388422
2020-06-01 00:00:00,15.5740604
2020-07-01 00:00:00,13.268549
2020-08-01 00:00:00,16.6024723
2020-09-01 00:00:00,18.6068058
2020-10-01 00:00:00,22.3196964
2020-11-01 00:00:00,24.3204594
2020-12-01 00:00:00,25.537775
2021-01-01 00:00:00,26.1555729
2021-02-01 00:00:00,24.8567142
2021-03-01 00:00:00,24.1690006
2021-04-01 00:00:00,21.1773319
2021-05-01 00:00:00,16.0248966
2021-06-01 00:00:00,13.9944706
2021-07-01 00:00:00,13.5847416
2021-08-01 00:00:00,16.4572392
2021-09-01 00:00:00,20.3620243
2021-10-01 00:00:00,21.2233829
2021-11-01 00:00:00,23.7491703
2021-12-01 00:00:00,27.1893559
2022-01-01 00:00:00,29.2630863
2022-02-01 00:00:00,26.4941654
2022-03-01 00:00:00,22.8095036
2022-04-01 00:00:00,20.0585575
2022-05-01 00:00:00,14.9650822
2022-06-01 00:00:00,12.4363956
2022-07-01 00:00:00,16.3232059
2022-08-01 00:00:00,15.3477726
2022-09-01 00:00:00,16.8895817
2022-10-01 00:00:00,20.1065311
2022-11-01 00:00:00,23.2131596
2022-12-01 00:00:00,27.1450748
